#[ angles ]
#i, j, k    theta_0(deg)   k_theta(kJ/mol/rad^-2)
 9  2 13    111.0000 4.6024e+02
 9  2  1    109.5000 4.6024e+02
 9  2  3    111.0000 4.6024e+02
13  2  1    111.0000 4.6024e+02
13  2  3    111.0000 4.6024e+02
 1  2  3    111.0000 4.6024e+02
 2  3  4    111.0000 4.6024e+02
 3  4  5    111.0000 4.6024e+02
 4  5  8    109.5000 4.6024e+02
 4  5  6    109.5000 4.6024e+02
 8  5  6    109.5000 4.6024e+02
 7  6  5    109.5000 3.9748e+02
 9  8  5    111.0000 4.6024e+02
 8  9 10    120.0000 4.1840e+02
 8  9  2    120.0000 4.6024e+02
10  9  2    120.0000 4.1840e+02
11 10  9    126.0000 4.1840e+02
12 11 10    111.0000 4.6024e+02
13 12 18    111.0000 4.6024e+02
13 12 11    111.0000 4.6024e+02
18 12 11    111.0000 4.6024e+02
14 13 12    111.0000 4.6024e+02
14 13  2    111.0000 4.6024e+02
12 13  2    111.0000 4.6024e+02
15 14 13    111.0000 4.6024e+02
16 15 14    111.0000 4.6024e+02
21 16 17    111.0000 4.6024e+02
21 16 18    111.0000 4.6024e+02
21 16 15    111.0000 4.6024e+02
17 16 18    111.0000 4.6024e+02
17 16 15    111.0000 4.6024e+02
18 16 15    111.0000 4.6024e+02
19 18 16    111.0000 4.6024e+02
19 18 12    111.0000 4.6024e+02
16 18 12    111.0000 4.6024e+02
18 19 20    111.0000 4.6024e+02
19 20 21    111.0000 4.6024e+02
20 21 22    111.0000 4.6024e+02
20 21 16    111.0000 4.6024e+02
22 21 16    111.0000 4.6024e+02
23 22 24    111.0000 4.6024e+02
23 22 21    111.0000 4.6024e+02
24 22 21    111.0000 4.6024e+02
25 24 22    111.0000 4.6024e+02
26 25 24    111.0000 4.6024e+02
27 26 25    111.0000 4.6024e+02
28 27 29    111.0000 4.6024e+02
28 27 26    111.0000 4.6024e+02
29 27 26    111.0000 4.6024e+02
