#[ bonds ]
# i, j   r_o (nm)     k_b (kJ/mol/nm^-2)
1   2   1.53e-01 3.3472e+05
2   3   1.53e-01 3.3472e+05
3   4   1.53e-01 3.3472e+05
4   5   1.53e-01 3.3472e+05
5   6   1.43e-01 3.3472e+05
6   7   1.00e-01 3.1380e+05
5   8   1.53e-01 3.3472e+05
8   9   1.53e-01 3.3472e+05
9   2   1.53e-01 3.3472e+05
9   10  1.39e-01 4.1840e+05
10  11  1.53e-01 3.3472e+05
11  12  1.53e-01 3.3472e+05
12  13  1.53e-01 3.3472e+05
2   13  1.53e-01 3.3472e+05
13  14  1.53e-01 3.3472e+05
14  15  1.53e-01 3.3472e+05
15  16  1.53e-01 3.3472e+05
16  17  1.53e-01 3.3472e+05
18  16  1.53e-01 3.3472e+05
18  12  1.53e-01 3.3472e+05
18  19  1.53e-01 3.3472e+05
19  20  1.53e-01 3.3472e+05
20  21  1.53e-01 3.3472e+05
16  21  1.53e-01 3.3472e+05
21  22  1.53e-01 3.3472e+05
22  23  1.53e-01 3.3472e+05
22  24  1.53e-01 3.3472e+05
24  25  1.53e-01 3.3472e+05
25  26  1.53e-01 3.3472e+05
26  27  1.53e-01 3.3472e+05
27  28  1.53e-01 3.3472e+05
27  29  1.53e-01 3.3472e+05
